Evento,Recinto,Artista,Ciudad,Pais,Fecha de incio,Productora,ID_evento
Rio Concert,Vivo Rio,Drake,RIO DE JANEIRO,BRASIL,26-02-2016,Agencia 360,E82
The E.N.D World,Air Canada Centre,Black Eyed Peas,TORONTO,CANADA,12/05/2021,Eventos Toronto Shaddai,E83
ShoNuf Lucky,Opera de Sidney,Hardwell,SYDNEY,AUTRALIA,10/02/2019,Sydney WorldPride,E84
Bigger than me,Metropol,Louis Tomlinson,BERLIN,ALEMANIA,01/06/2020,Europages,E85
La leyenda,UBS Arena,Gustavo Cerati,NUEVA YORK,ESTADOS UNIDOS,02/03/2018,Event Production Company,E86
Show Forest,Radio City Music Hall,One Direction,NUEVA YORK,ESTADOS UNIDOS,11/04/2016,Hartmann Studios,E87
A7S Show,Barclaycard Arena,A7S,HAMBURG,ALEMANIA,19-12-2017,B+D Events,E88
El Duko,Parque Bicentenario Cerrillos,Duki,SANTIAGO,CHILE,12/07/2018,Andres gardeweg producciones e.i.r.l,E89
Golden,La Marina de Valencia,Harry Styles,VALENCIA,ESPAÑA,23-03-2022,LetsGo Company,E90
Papi Juancho,Teatro Municipal de Santiago,Maluma,SANTIAGO,CHILE,18-09-2020,DG Medios y espectaculos s.a.,E91
Fruta y te,Raley Field,Gepe,SACRAMENTO,ESTADOS UNIDOS,17-04-2017,The Imagos,E92
Habana,Velodromo de Berlin,Camila Cabello,BERLIN,ALEMANIA,09/10/2018,Litmind,E93
AgendaMusic,Sala La Rivera,Ozuna,MADRID,ESPAÑA,20-06-2018,LetsGo Company,E94
Ko Ko Pop,Estadio Nacional,EXO,BUENOS AIRES,ARGENTINA,14-01-2020,Ramasso Productora,E95
Nobody like you,Palau Sant Jordi,Nicki Nicole,BARCELONA,ESPAÑA,26-07-2022,Live Nation,E96
Cerca de ti,Teatro Cariola,Tiago PZK,SANTIAGO,CHILE,28-01-2022,Club providencia,E97
Tren al Sur,Estadio Bicentario de La Florida,Los Prisioneros,SANTIAGO,CHILE,27-11-2018,Yellow House,E98
EteSesh,FirstOntario Centre,Sech,HAMILTON,CANADA,07/07/2019,Canada Eventos,E99
La Ultima Vuelta,Club RBX,Daddy Yankee,SANTIAGO,CHILE,11/12/2016,Street machine producciones s.a.,E100
Caminemos de la Mano,Quinta Vergara,Pailita,VIÑA DEL MAR,CHILE,21-07-2016,Casa eventos,E101
CARAVANA,Carioca Club,Wos,SAO PAULO,BRASIL,29-07-2018,BRL Eventos,E102
TJB,Dodger Stadium,Jonas Brothers,LOS ANGELES,ESTADOS UNIDOS,25-06-2022,Hartmann Studios,E103
Perfect All Experimenters,Aotea Centre,Anitta,AUCKLAND,NUEVA ZELANDA,24-07-2016,Event Management NZ,E104
Nicky Jam Show,Radio City Music Hall,Nicky Jam,NUEVA YORK,ESTADOS UNIDOS,28-08-2019,Live Nation,E105
Nino Blessi,Bikini Barcelona,DrefQuila,BARCELONA,ESPAÑA,19-04-2020,Live Nation,E106
Twelve Carat Tour,The Anthem,Post Malone,WASHINGTON DC,ESTADOS UNIDOS,29-01-2018,AEG,E107
Bangerz,Don Haskins Center,Miley Cyrus,TEXAS,ESTADOS UNIDOS,08/12/2018,Hartmann Studios,E108
Umbrella Concert,Movistar Arena,Rihanna,BUENOS AIRES,ARGENTINA,07/08/2019,ATOMIC FILMS,E109
Revelation Magic Everything,Trafalgar Centre Paru,Afrojack,NELSON,NUEVA ZELANDA,04/01/2022,Queenstown Event Company,E110
Drivers License Tour,ZAG Arena,Olivia Rodrigo,HANOVER,ALEMANIA,17-02-2016,MGC,E111
Big Time,"Stage Live, Kalea",Big Time Rush,BILBAO,ESPAÑA,07/04/2016,Planet Events,E112
Schulz Forever,Arena Ludwingsburg,Robin Schulz,LUDWINGSBURG,ALEMANIA,22-02-2017,B+D Events,E113
El Ultimo Concierto,Gran Arena Monticello,Soda Stereo,SANTIAGO,CHILE,19-07-2016,Sony music entertainment chile s.a.,E114
Epic Show,Freiheitshalle,The Martinez Brothers,MUNICH,ALEMANIA,03/04/2022,B+D Events,E115
Desesperados,Arena TSB Bank,Rauw Alejando,WELLINGTON,NUEVA ZELANDA,24-09-2019,Lets Dance,E116
Material Girl,Estadio ANZ,Madonna,SYDNEY,AUTRALIA,21-06-2016,Event Hire Sydney,E117
Sueno Stereo,Shubert Theatre,Soda Stereo,BOSTON,ESTADOS UNIDOS,02/08/2020,Eveerlast Productions INC.,E118
Disney Concert,Estadio Unico Diego Armando Maradona,Demi Lovato,BUENOS AIRES,ARGENTINA,15-03-2016,ATOMIC FILMS,E119
DJ Snake,Espacio Unimed,DJ Snake,SAO PAULO,BRASIL,15-02-2016,Brasil Stands,E120
DISCOTEKA,Independance Club,Lola Indigo,MADRID,ESPAÑA,30/2/2021,IndyRock,E121
Rio Concert,Vivo Rio,Bad Bunny,RIO DE JANEIRO,BRASIL,26-02-2016,Agencia 360,E122
Lively And Supreme,Mercedes-Benz Arena,Armin Van Buuren,BERLIN,ALEMANIA,11/09/2020,Eventveranstalter Hamburg,E123
El Alfa Tour,The Brooklyn Monarch,El Alfa,NUEVA YORK,ESTADOS UNIDOS,25-08-2019,Event Production Company,E124
PlanAhead,Luna Park,Alesso,BUENOS AIRES,ARGENTINA,02/05/2021,ESTADIUM LUNA PARK,E125
Roads Time,Columbianhalle,Daft Punk,BERLIN,ALEMANIA,06/02/2020,Europages,E126
Beyond Wonderland,Gran Arena Monticello,Marshmello,SANTIAGO,CHILE,29-06-2016,BDD Producciones,E127
Paramore,Niceto Club,Paramore,BUENOS AIRES,ARGENTINA,11/01/2017,FEG ENTRETENIMIENTOS,E128
Maria Becerra,Teatro Municipal de Santiago,Maria Becerra,SANTIAGO,CHILE,10/06/2022,Ais producciones,E129
Tusa,Metropolitano Rosario,Nicki Minaj,BUENOS AIRES,ARGENTINA,07/11/2020,ESPECTACULOS GALLO,E130
DJs Apoyando a Chile,Teatro Teletón,Hardwell,SANTIAGO,CHILE,11/12/2016,Andeschimp spa,E131
Mami Tour,Thunder Bay,Paloma Mami,ONTARIO,CANADA,09/07/2022,EventsEye,E132
Super Bass Tour,Warehouse Live,Nicki Minaj,TEXAS,ESTADOS UNIDOS,02/04/2022,The Imagos,E133
Bigger than me,Teatro Colon,Louis Tomlinson,BUENOS AIRES,ARGENTINA,29-05-2021,PROSPERO PRODUCCIONES,E134
Twelve Carat Tour,Teatro Mayor,Post Malone,BOGOTA,COLOMBIA,29-05-2022,Tyg Eventos y Producciones,E135
Michael Jackson Tribute,Cupula Multiespacio,Michael Jackson,SANTIAGO,CHILE,13-11-2017,Time for fun (t4f),E136
AgendaMusic,Sala La Rivera,Becky G,MADRID,ESPAÑA,20-06-2018,LetsGo Company,E137
Talking to the moon,Aotea Centre,Bruno Mars,AUCKLAND,NUEVA ZELANDA,24-02-2021,manatua.nz,E138
Say you wont let go,Antel Arena,James Arthur,BUENOS AIRES,ARGENTINA,08/02/2022,PROSPERO PRODUCCIONES,E139
Telepatia,Raley Field,Nathy Peluso,SACRAMENTO,ESTADOS UNIDOS,02/03/2017,Eveerlast Productions INC.,E140
Me Veras Volver,Palau Sant Jordi,Soda Stereo,BARCELONA,ESPAÑA,06/09/2017,Live Nation,E141
MJ Tribute,Warehouse Live,Michael Jackson,TEXAS,ESTADOS UNIDOS,12/01/2016,AEG,E142
AgendaMusic,Sala La Rivera,Karol G,MADRID,ESPAÑA,20-06-2018,LetsGo Company,E143
Convencete,Thunder Bay,Princesa Alba,ONTARIO,CANADA,16-02-2020,EventsEye,E144
Perfect Specacular Paradise,Sala Apolo,Alan Walker,BARCELONA,ESPAÑA,26-02-2016,Live Nation,E145
Disney Concert,Estadio Unico Diego Armando Maradona,Miley Cyrus,BUENOS AIRES,ARGENTINA,15-03-2016,ATOMIC FILMS,E146
The Real Slim Shady,Club Subterraneo,Eminem,SANTIAGO,CHILE,01/10/2020,DG Medios y espectaculos s.a.,E147
Disney Concert,Estadio Unico Diego Armando Maradona,Selena Gomez,BUENOS AIRES,ARGENTINA,15-03-2016,ATOMIC FILMS,E148
La Criminal,Club Subterraneo,Natti Natasha,SANTIAGO,CHILE,06/11/2019,Glovox producciones limitada,E149
Dont start now,Teatro Gran Rex,Dua Lipa,BUENOS AIRES,ARGENTINA,02/02/2017,FMG PRODUCCIONES,E150
I Aint Worried,Luna Park,One Republic,BUENOS AIRES,ARGENTINA,15-05-2021,ESTADIUM LUNA PARK,E151
Sub Focus,Moon Valencia,Coldplay,VALENCIA,ESPAÑA,15-02-2016,Ibolele Producciones,E152
Get Jacked,Arena TSB Bank,Afrojack,WELLINGTON,NUEVA ZELANDA,16-01-2017,Event Management NZ,E153
Best Part,Chango Club,Daniel Caesar,MADRID,ESPAÑA,11/08/2018,Planet Events,E154
Mami Tour,Columbianhalle,Paloma Mami,BERLIN,ALEMANIA,19-12-2022,Nachhaltige Events,E155
Rio Concert,Vivo Rio,Francisca Valenzuela,RIO DE JANEIRO,BRASIL,26-02-2016,Agencia 360,E156
Kill my mind,La Madeleine,Louis Tomlinson,BRUSELAS,BELGICA,28-01-2017,Xceed,E157
DISCOTEKA,Mercedes-Benz Arena,Lola Indigo,BERLIN,ALEMANIA,04/10/2016,Bierlinerin,E158
Fourplan Event,Olympiahalle,Beele,MUNICH,ALEMANIA,16-08-2016,Yataco,E159
Hips dont lie,Espacio Riesco,Shakira,SANTIAGO,CHILE,22-12-2017,Productora energy in motion limitada,E160
Shivers,Lanxess Arena,Ed Sheeran,COLOGNE,ALEMANIA,01/03/2018,CK Events Germany,E161
The Encounter,Crypto.com Arena,One Direction,LOS ANGELES,ESTADOS UNIDOS,17-04-2022,Revelation,E162
Everybody,Gran Arena Monticello,Madonna,SANTIAGO,CHILE,21-10-2016,DG Medios y espectaculos s.a.,E163
Real Scene,Phoenix Concert Theatre,Big Bang,TORONTO,CANADA,11/09/2021,Yataco,E164
Fourplan Event,Olympiahalle,Tini Stoessel,MUNICH,ALEMANIA,16-08-2016,Yataco,E165
Papi Juancho,Estadio Rose Bowl,Maluma,LOS ANGELES,ESTADOS UNIDOS,17-07-2022,Horwath Productions INC.,E166
Shape of you,Aussie Stadium,Ed Sheeran,SYDNEY,AUTRALIA,20-04-2016,Event Hire Sydney,E167
Super Freaky Girl,Casino de Viña del Mar,Nicki Minaj,VIÑA DEL MAR,CHILE,01/01/2022,Glovox producciones limitada,E168
Belinda Comeback,E-Werk,Belinda,COLOGNE,ALEMANIA,30-01-2016,Europages,E169
WAR,Shubert Theatre,U2,BOSTON,ESTADOS UNIDOS,10/05/2021,Live Nation,E170
"Young, Dumb and Broke",Trafalgar Centre Paru,Khalid,NELSON,NUEVA ZELANDA,09/06/2020,Event Management NZ,E171
Concha Acustica UC 2022,Club Subterraneo,Pailita,SANTIAGO,CHILE,24-10-2022,Eventos mudness limitada,E172
El negrito ojos claros,Teatro Municipal de Valparaiso,Ozuna,VALPARAISO,CHILE,07/07/2018,Producciones musicales massivo reccords limitada,E173
Step by Step,City Hall el Rodeo,New Kids on the Block,MEDELLIN,COLOMBIA,28-03-2016,Onlygroundmusic,E174
DJs Apoyando a Chile,Teatro Teletón,Afrojack,SANTIAGO,CHILE,11/12/2016,Andeschimp spa,E175
Salimo de Noche,Palacio de las Artes,Tiago PZK,VALENCIA,ESPAÑA,30-2-2019,LetsGo Company,E176
Concha Acustica UC 2022,Club Subterraneo,Paloma Mami,SANTIAGO,CHILE,24-10-2022,Eventos mudness limitada,E177
Ultra Solo,Niceto Club,Pailita,BUENOS AIRES,ARGENTINA,12/11/2021,FMG PRODUCCIONES,E178
BZRP Tour,Pabellon Max Schmeling,Nicki Nicole,BERLIN,ALEMANIA,09/05/2020,Nachhaltige Events,E179
El negrito ojos claros,Hipodromo de Palermo,Ozuna,BUENOS AIRES,ARGENTINA,24-08-2017,FEG ENTRETENIMIENTOS,E180
Epic Show,Arena TSB Bank,The Martinez Brothers,WELLINGTON,NUEVA ZELANDA,06/05/2018,Queenstown Event Company,E181
RUNAWAY,Estadio ANZ,Bon Jovi,SYDNEY,AUTRALIA,07/09/2021,Expat,E182
S.U.N.O,Cupula Multiespacio,Pablo Chill-E,SANTIAGO,CHILE,21-08-2018,DG Medios y espectaculos s.a.,E183
Fourplan Event,Olympiahalle,Cris MJ,MUNICH,ALEMANIA,16-08-2016,Yataco,E184
Fine Line,Estadio Rose Bowl,Harry Styles,LOS ANGELES,ESTADOS UNIDOS,11/08/2022,Live Nation,E185
Heather,Palau Sant Jordi,Conan Gray,BARCELONA,ESPAÑA,01/03/2018,Live Nation,E186
MMM Bop,HISTORY,Hansen,TORONTO,CANADA,14-05-2022,Expat,E187
One Night Only,Movistar Arena,Bee Gees,SANTIAGO,CHILE,05/04/2019,G & t business group spa,E188
JLo,Club Subterraneo,Jennifer Lopez,SANTIAGO,CHILE,18-02-2018,DG Medios y espectaculos s.a.,E189
Natural,Gran Arena Monticello,Selena Gomez,SANTIAGO,CHILE,07/05/2016,Dreams - eventos,E190
Watch out for this,Sala But,Major Lazer,MADRID,ESPAÑA,17-12-2019,Planet Events,E191
The Joshua Tree,Luna Park,U2,BUENOS AIRES,ARGENTINA,27-02-2020,COMPAÑÍA ARGENTINA DE SUEÑOS,E192
Heather,Teatro Teletón,Conan Gray,SANTIAGO,CHILE,18-01-2021,Eventos luis maturana ortega e.i.r.l,E193
Eventage Feasts,Luna Park,Doja Cat,BUENOS AIRES,ARGENTINA,09/06/2016,ESTADIUM LUNA PARK,E194
Ko Ko Pop,Palau Sant Jordi,EXO,BARCELONA,ESPAÑA,20-04-2019,LetsGo Company,E195
Mil Rosas,Mercedes-Benz Arena,La Oreja de Van Gogh,BERLIN,ALEMANIA,29-11-2022,Eventveranstalter Hamburg,E196
The After Hours,WIZink Center,The Weeknd,MADRID,ESPAÑA,04/11/2021,Planet Events,E197
AgendaMusic,Sala La Rivera,Farruko,MADRID,ESPAÑA,20-06-2018,LetsGo Company,E198
Fourplan Mania,Kursaal Oostende,Duncan Laurence,OSTEND,BELGICA,29-04-2019,Rove.me,E199
SongKick,SOF Q8 Toinha Brasil,Skrillex,BRASILIA,BRASIL,09/08/2020,BRL Eventos,E200
Disney Concert,Estadio Unico Diego Armando Maradona,Justin Bieber,BUENOS AIRES,ARGENTINA,15-03-2016,ATOMIC FILMS,E201
Heartbreak Weather,SALA SANTANA,Niall Horan,BILBAO,ESPAÑA,16-06-2020,LetsGo Company,E202
Bang Bang,Warehouse Live,Jessie J,TEXAS,ESTADOS UNIDOS,03/02/2021,Los Angeles AV Production,E203
Big E Party Moment,Air Canada Centre,New Kids on the Block,TORONTO,CANADA,18-10-2020,Eventos Toronto Shaddai,E204
Oh How,La Madeleine,Eagles,BRUSELAS,BELGICA,10/09/2021,Xceed,E205
How do you sleep,Teatro Municipal de Santiago,Sam Smith,SANTIAGO,CHILE,14-09-2022,Lotus producciones limitada,E206
Concha Acustica UC 2022,Club Subterraneo,Jordan 23,SANTIAGO,CHILE,24-10-2022,Eventos mudness limitada,E207
I Used to Think I could Fly,Salitre Magico,Tate McRae,BOGOTA,COLOMBIA,23-10-2019,Sinstress Eventos,E208
FULL PIOLI,Estadio Rose Bowl,Pablo Chill-E,LOS ANGELES,ESTADOS UNIDOS,13-07-2017,Revelation,E209
Rio Concert,Vivo Rio,Justin Bieber,RIO DE JANEIRO,BRASIL,26-02-2016,Agencia 360,E210
Lali Esposito: The Show,Days Bay Pavilion,Lali Esposito,LOWER HUTT,NUEVA ZELANDA,03/03/2021,Leading Event Agency,E211
MMM Bop,Wilterm Theatre,Hansen,LOS ANGELES,ESTADOS UNIDOS,16-08-2017,Live Nation,E212
CLARITY,Estadio Nacional,Robin Schulz,SANTIAGO,CHILE,17-08-2018,DG Medios y espectaculos s.a.,E213
Mil Rosas,City Hall el Rodeo,La Oreja de Van Gogh,MEDELLIN,COLOMBIA,03/03/2016,Animationphoenix,E214
Dangerous Woman,Niceto Club,Ariana Grande,BUENOS AIRES,ARGENTINA,22-07-2021,Ramasso Productora,E215
El amor despues del amor,Aotea Centre,Fito Paez,AUCKLAND,NUEVA ZELANDA,05/01/2021,Lets Dance,E216
One Vision of Queen,Teatro Gran Rex,Queen,BUENOS AIRES,ARGENTINA,24-07-2020,FMG PRODUCCIONES,E217
Schulz Forever,La Marina de Valencia,Robin Schulz,VALENCIA,ESPAÑA,22-03-2022,Live Nation,E218
Disney Concert,Estadio Unico Diego Armando Maradona,Jonas Brothers,BUENOS AIRES,ARGENTINA,15-03-2016,ATOMIC FILMS,E219
R3hab live show,Velodromo de Berlin,R3hab,BERLIN,ALEMANIA,19-09-2022,KahnEvents GmbH,E220
Young Flex,Estadio de Futbol Atanasio Girardot,Khea,MEDELLIN,COLOMBIA,04/09/2018,Rocko Saroni Eventos,E221
CLARITY,Estadio Nacional,Diplo,SANTIAGO,CHILE,17-08-2018,DG Medios y espectaculos s.a.,E222
Rio Concert,Vivo Rio,Taylor Swift,RIO DE JANEIRO,BRASIL,26-02-2016,Agencia 360,E223
Telepatia,Club Chocolate,Nathy Peluso,SANTIAGO,CHILE,06/04/2022,Eventos luis maturana ortega e.i.r.l,E224
Treat you better,Moon Valencia,Shawn Mendes,VALENCIA,ESPAÑA,30-09-2019,LetsGo Company,E225
RBD the comeback,Teatro Municipal de Valparaiso,RBD,VALPARAISO,CHILE,17-02-2020,Productora de eventos moviefan limitada,E226
La Gasolina,Estadio Santa Laura,Daddy Yankee,SANTIAGO,CHILE,16-12-2016,Global producciones spa,E227
Todo Cambia,Fundo Colmito,Mercedes Sosa,VIÑA DEL MAR,CHILE,15-12-2021,Comercial caupolican limitada,E228
El J23,Canadian Tire Centre,Jordan 23,OTTAWA,CANADA,07/10/2020,Mayam Producciones,E229
One Night Only,WIZink Center,Bee Gees,MADRID,ESPAÑA,26-09-2017,Producciones Baltimore,E230
Voyage,Studio The Venue,ABBA,AUCKLAND,NUEVA ZELANDA,29-05-2020,Leading Event Agency,E231
Born this way,Shubert Theatre,Lady Gaga,BOSTON,ESTADOS UNIDOS,08/05/2017,Event Production Company,E232
Get Jacked,Carrer Baix Vinalopo,Afrojack,MISLATA,ESPAÑA,14-02-2021,Producciones Baltimore,E233
